state,TL,TC,TR,ML,MC,MR,BL,BC,BR
_+_+_+_+_+_+ +X+O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4681350649775785
X+_+X+_+_+_+ +O+ ,0.0,0.8986106115458585,0.0,0.2660305602656026,0.5175209820938254,0.4276074049033507,0.5728527019413305,0.0,0.6111363924519756
X+_+X+_+_+X+ +O+O,0.0,0.8992091205910169,0.0,0.2939254168438618,0.7967399408097475,0.0,0.9999999999999998,0.0,0.0
X+_+X+_+_+X+O+O+O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X+_+X+_+_+_+ +O+O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5254856102531562,0.06480000000000001
_+_+X+_+_+_+ +O+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32583858405394617,0.0
_+_+_+_+_+_+ + +X,0.7264549920973269,0.6335076984526902,0.7239196997776312,0.6703163112054268,0.7802899984369881,0.6252634614385288,0.6912052665464848,0.5581231898076221,0.0
_+_+_+_+X+_+O+O+X,0.0,0.0,0.0,0.0,0.0,0.0,0.428783747166087,0.0,0.0
_+_+_+_+_+_+ +O+X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33944529534397955,0.0
X+_+X+_+_+O+ +X+O,0.0,0.17393336997920458,0.0,0.06156867605211981,0.2629579855005528,0.0,0.17396020239612556,0.0,0.0
X+_+X+X+_+O+O+X+O,0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X+_+X+X+O+O+O+X+O,0.0,0.0,0.0,0.0,0.9884707849539316,0.36000000000000004,0.488,0.0,0.0
X+_+X+_+_+O+O+X+O,0.0,0.0,0.0,0.0,0.0,0.8450498703865938,0.4435360000000001,0.0,0.0
X+_+_+_+_+O+ +X+O,0.0,0.0,0.0,0.0,0.0,0.15370897109247594,0.0,0.0,0.0
_+_+_+_+_+X+ + + ,0.7587816633277777,0.7400772440160849,0.7021756230547611,0.6825460106108101,0.7381712016315849,0.0,0.7827436379980335,0.6221017970640402,0.7113131338523921
_+O+_+_+X+X+X+ +O,0.18,0.0,0.486488843873321,0.15088093185321494,0.0,0.0,0.0,0.0,0.0
_+O+_+_+X+X+X+O+O,0.0,0.6369926471680001,0.0,0.0,0.0,0.0,0.0,0.0,0.14980101120000006
_+O+_+_+X+X+ + +O,0.0,0.036000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_+_+_+_+_+X+ + +O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22254476347676888
_+_+X+_+_+_+ + + ,0.6871526865397594,0.7314938760067486,0.0,0.7207180213423566,0.7510364559623647,0.6565028454589589,0.7022192763277222,0.7274963210020934,0.7059000492467953
_+_+X+_+_+_+X+ +O,0.5947918141691103,0.4206602529522721,0.0,0.489135814179784,0.8788172278199629,0.4581756682013877,0.0,0.5969951551018295,0.0
